Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Y:\MS-data\2025\Jesus\dox\A1_20250325224911.mzML	Y:\MS-data\2025\Jesus\dox\A2.mzML	Y:\MS-data\2025\Jesus\dox\A3.mzML	Y:\MS-data\2025\Jesus\dox\A4.mzML	Y:\MS-data\2025\Jesus\dox\A5.mzML	Y:\MS-data\2025\Jesus\dox\B1.mzML	Y:\MS-data\2025\Jesus\dox\B2.mzML	Y:\MS-data\2025\Jesus\dox\B3.mzML	Y:\MS-data\2025\Jesus\dox\B4.mzML	Y:\MS-data\2025\Jesus\dox\B5.mzML	Y:\MS-data\2025\Jesus\dox\C1.mzML	Y:\MS-data\2025\Jesus\dox\C2.mzML	Y:\MS-data\2025\Jesus\dox\C3.mzML	Y:\MS-data\2025\Jesus\dox\C4.mzML	Y:\MS-data\2025\Jesus\dox\C5.mzML	Y:\MS-data\2025\Jesus\dox\D1.mzML	Y:\MS-data\2025\Jesus\dox\D2.mzML	Y:\MS-data\2025\Jesus\dox\D3.mzML	Y:\MS-data\2025\Jesus\dox\D4.mzML	Y:\MS-data\2025\Jesus\dox\D5.mzML	Y:\MS-data\2025\Jesus\dox\E1.mzML	Y:\MS-data\2025\Jesus\dox\E2.mzML	Y:\MS-data\2025\Jesus\dox\E3.mzML	Y:\MS-data\2025\Jesus\dox\E5.mzML	Y:\MS-data\2025\Jesus\dox\F1_20250325184234.mzML	Y:\MS-data\2025\Jesus\dox\F2.mzML	Y:\MS-data\2025\Jesus\dox\F3.mzML	Y:\MS-data\2025\Jesus\dox\F4.mzML	Y:\MS-data\2025\Jesus\dox\F5.mzML	Y:\MS-data\2025\Jesus\dox\G1.mzML	Y:\MS-data\2025\Jesus\dox\G2.mzML	Y:\MS-data\2025\Jesus\dox\G3.mzML	Y:\MS-data\2025\Jesus\dox\G4.mzML	Y:\MS-data\2025\Jesus\dox\G5.mzML	Y:\MS-data\2025\Jesus\dox\H1.mzML	Y:\MS-data\2025\Jesus\dox\H2.mzML	Y:\MS-data\2025\Jesus\dox\H3.mzML	Y:\MS-data\2025\Jesus\dox\H4.mzML	Y:\MS-data\2025\Jesus\dox\H5.mzML
A1A5C7	S22AN_HUMAN	SLC22A23	Solute carrier family 22 member 23	11	11	429956	493050	396910	607607	547610	586963	572742	574514	532982	421406	766238	560120	686916		645436	680946	665413	651742	507985	534105	646848	482018	548656	512462	568298	510609	532364	1.37994e+06	477226	573791	564396	532372	610667	570569	582432	527891	451472	1.15064e+06	572028
A1L020	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A	20	18	3.63695e+06	3.78756e+06	2.96285e+06	3.62777e+06	4.22698e+06	3.90278e+06	4.20565e+06	4.0049e+06	3.63002e+06	3.23366e+06	4.22988e+06	3.76044e+06	4.1965e+06	4.38501e+06	3.82414e+06	3.86889e+06	4.18154e+06	3.84886e+06	4.21008e+06	3.98362e+06	4.08785e+06	4.66477e+06	4.47587e+06	4.46076e+06	4.29919e+06	4.54141e+06	4.44793e+06	3.021e+06	3.13227e+06	4.07699e+06	4.11758e+06	4.21951e+06	4.58207e+06	4.02097e+06	4.42385e+06	4.49243e+06	4.736e+06	3.42646e+06	4.7363e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	20	20	2.79527e+06	3.11634e+06	2.79771e+06	2.91187e+06	3.1479e+06	2.92279e+06	3.34558e+06	2.95499e+06	3.61056e+06	3.40723e+06	2.63959e+06	3.3074e+06	3.19482e+06	2.89079e+06	3.74187e+06	3.04537e+06	3.4216e+06	3.44878e+06	2.53392e+06	2.47547e+06	2.7783e+06	3.22214e+06	2.74288e+06	2.81369e+06	3.00758e+06	3.03267e+06	2.8082e+06	2.06325e+06	2.54424e+06	2.9863e+06	3.23735e+06	2.4866e+06	2.80809e+06	2.96454e+06	2.77274e+06	3.05357e+06	2.77594e+06	2.99266e+06	2.80674e+06
A1L170	CA226_HUMAN	C1orf226	Uncharacterized protein C1orf226	5	5	621180	491216	531919	607199	354901	303022	394100	345803	493256	396489	406054	577241	483797		351811	356635	140551	330436	212064	350591						174772				157378									198008
A1L190	SYCE3_HUMAN	SYCE3	Synaptonemal complex central element protein 3	1	1	1.64638e+06		1.04565e+06				1.7499e+06		1.22006e+06		1.90709e+06	1.68313e+06	1.90352e+06			2.31909e+06	1.86876e+06	2.17431e+06			2.11475e+06					1.83117e+06			937724		1.53763e+06	2.03262e+06				1.80863e+06			
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	14	14	217784	276425	270242	282160	216634	259070	257677	229278	259345	328353	195418	293559	224226		238927	264348	202352	207967	309400	226200	221047	257785	245099	300703	234661	228128	211580	306945	155244	226998	234284	208925	203961	169404	224340	227998	276545	161419	260468
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	34	34	6.80317e+06	7.11612e+06	6.18123e+06	7.59525e+06	6.06795e+06	6.82221e+06	6.5486e+06	6.9031e+06	7.15252e+06	7.03652e+06	6.33999e+06	7.43717e+06	6.60598e+06	7.49331e+06	6.86132e+06	6.92866e+06	6.94943e+06	5.82842e+06	7.67951e+06	6.33874e+06	6.50735e+06	6.21153e+06	6.66194e+06	6.07228e+06	6.16703e+06	6.26764e+06	5.81107e+06	2.47197e+07	5.1795e+06	5.93551e+06	5.65281e+06	5.6686e+06	6.5532e+06	5.91296e+06	5.08223e+06	4.90967e+06	5.66389e+06	4.80471e+06	5.21186e+06
A1XBS5	CBAR1_HUMAN	CIBAR1	CBY1-interacting BAR domain-containing protein 1	4	4	39372.1	52267.4	33596.1		44606.6	44994.3	51346.1	34351.3	58653.3	56242.1	49968.2	51445.5	47930.9		57359.5	51271.1	49920.8	54590.6	36334.7			34919.2	31120.3	32483.9	50090.1	19223.1	46578.6			30962.2	38550.9	41097.6	31653.5	55828.9	35696.1	36341.4	31461.2	35000	35242.3
A1Z1Q3	MACD2_HUMAN	MACROD2	ADP-ribose glycohydrolase MACROD2	12	12	7.26651e+06	7.93987e+06	4.46179e+06	5.47875e+06	8.6295e+06	9.40452e+06	9.1269e+06	8.92956e+06	9.96664e+06	5.4349e+06	9.61848e+06	8.28418e+06	1.03344e+07	9.74367e+06	9.14921e+06	1.05063e+07	1.06702e+07	9.70139e+06	1.02491e+07	1.04767e+07	1.30075e+07	1.14935e+07	1.3459e+07	1.29393e+07	1.08628e+07	1.03028e+07	1.16192e+07	1.48775e+07	1.05784e+07	1.12946e+07	1.14664e+07	1.14916e+07	1.32629e+07	1.26322e+07	1.19705e+07	1.19552e+07	1.30683e+07	1.38785e+07	1.24899e+07
A2A2Y4	FRMD3_HUMAN	FRMD3	FERM domain-containing protein 3	10	10	153944	151788			188579	197554	189919	201043	181386	130849	247929	152245	209797		207759	233065	253643	195949	254775	192104	642433	556546	591472	533994	644740	767452	555706		390202	737271	775243	729297	806836	471648	690705	777226	693998	519632	486208
A2A3K4	PTPC1_HUMAN	PTPDC1	Protein tyrosine phosphatase domain-containing protein 1	6	6	43826.1	74580.9	31715.8	43970	54741.7	52328.9	48953.8	55273.6	58762.8	38206.8	54840.4	59893.2	62062.5		50816.3	60550.8	67706.2	60482.9	55861.9	51988.3	95226.2	96213.3	72840	67765.7	80151.3	85582.9	64850.6	163708		96268.1	59143.5	101196	81326.9	61511	74502.3	83089.9	82501	83228.5	63839.6
A2AJT9	BCLA3_HUMAN	BCLAF3	BCLAF1 and THRAP3 family member 3	9	9	896832	1.16702e+06	885377	666901	1.58228e+06	1.26579e+06	1.101e+06	1.05743e+06	1.00094e+06	994814	990690	1.21784e+06	1.21711e+06		975804	1.09689e+06	1.35943e+06	1.02782e+06	1.46541e+06	1.10991e+06	1.59844e+06	1.61537e+06	1.66721e+06	1.5741e+06	1.59656e+06	1.63074e+06	1.61697e+06		828222	1.4151e+06	1.39464e+06	1.51876e+06	1.6798e+06	1.56048e+06	1.55446e+06	1.64328e+06	1.38701e+06	1.13015e+06	1.55253e+06
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	63	63	1.70774e+06	1.72267e+06	1.66616e+06	1.67977e+06	1.59617e+06	1.64156e+06	1.77707e+06	1.45917e+06	1.81138e+06	1.71505e+06	1.68433e+06	1.78661e+06	1.74869e+06		1.70436e+06	1.57652e+06	1.60887e+06	1.72316e+06	1.49697e+06	1.40689e+06	1.45761e+06	1.46946e+06	1.38632e+06	1.3334e+06	1.40112e+06	1.49936e+06	1.4944e+06	1.37357e+06	1.32461e+06	1.55766e+06	1.4892e+06	1.40118e+06	1.32973e+06	1.3573e+06	1.34208e+06	1.41068e+06	1.40514e+06	1.49168e+06	1.44796e+06
A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	17	17	436462	573149	430811	353635	478932	435874	448442	500592	545737	545184	520845	441705	575639		611130	473057	433984	419841	432629	429254	427608	448735	339170	334058	369832	376940	338512		312573	371103	375734	363072	329839	341001	399381	381550	394612	439859	316376
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	5	5	546743	579490	451502	661125	688917	600769	676034	482493	451932	535194	656991	578990	524048		554011	806647	739118	775806	571086	684090	569515	473844	559042	460902	534023	424384	478619	722487	510313	517997	535298	437872	586800	473526	601680	590346	563020	1.13454e+06	444510
A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5	9	9	162524	180942	149582	218835	153701	180112	152889	144118	143878	158710	134921	159362	164097		154955	169816	162726	156976	147363	116126	176767	158751	175899	129917	154817	183404	174556	232838	159758	175989	168444	153782	128015	141635	197357	142532	187653	194969	184659
A2VDJ0	T131L_HUMAN	TMEM131L	Transmembrane protein 131-like	1	1			1548.62		2005.68	1672.36	2203.17	2327.13	1730.5	1255.94	2646.65	3300.63	1698.8		1436.65	1027.07	1380.93	1553.63			1064.51	1179.59	2145.91				2629.24			1227.67	1854.52			1864.62	1232.96		2029.35		2549.16
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	35	35	454343	343251	356541	412882	291238	339957	318832	277849	318035	378083	347159	357520	302267		310407	335778	279739	265708	357552	296428	317224	285777	241721	240644	316796	267819	293874		253840	297908	251328	277881	314002	251331	286311	307368	303905	369728	296859
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	27	19	1.55771e+06	1.42693e+06	1.53797e+06	1.5077e+06	1.57044e+06	1.51222e+06	1.75314e+06	1.5373e+06	1.60003e+06	1.62186e+06	1.70835e+06	1.59716e+06	1.47663e+06		1.39531e+06	1.52284e+06	1.71805e+06	1.67967e+06	1.5391e+06	1.58988e+06	1.266e+06	1.72447e+06	1.34863e+06	1.19183e+06	1.33717e+06	1.41695e+06	1.49855e+06	1.28833e+06	1.40212e+06	1.34881e+06	1.46114e+06	1.35206e+06	1.36042e+06	1.21622e+06	1.47587e+06	1.40283e+06	1.49354e+06	1.35984e+06	1.25181e+06
A4D126	ISPD_HUMAN	CRPPA	D-ribitol-5-phosphate cytidylyltransferase	6	6	83833	128938	85824.9	71633.6	85397.2	108295	158060	151183	146611	123938	85974	126385	123166		159418	103471	132235	147742	96237.3	100228	119646	120248	133460	113773	74016.2	92604.6	137689		153430	92339.3	119945	120925	158641	91171	113975	76400.5	178743	168046	77550.6
A4D161	F221A_HUMAN	FAM221A	Protein FAM221A	6	6	108915	120030	96806.6		123090	119186	156990	117195	122439	140318	158287	124119	154161		148610	126693	145654	111090	138778	168977	149381	133849	225663	146124	157319	162396	129606	136418	141734	144118	154213	157104	145983	133746	170026	163582	126551	144266	186507
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	16	16	372639	357089	345821	296301	333365	351036	403691	372082	353192	341910	326327	475250	346198	392360	331271	373976	340909	381612	370357	317435	319499	319899	393241	259459	316560	353381	411994		233382	341755	296288	292391	379832	328358	283408	282867	272618	464955	242319
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	19	19	832777	876264	617901	587832	860316	862906	874471	807949	813618	716403	927977	883007	834297		851840	799387	727626	815494	804147	773360	871022	856460	998559	880256	904822	899343	857325	1.11182e+06	755357	771799	851714	876915	963882	853593	884556	870277	835813	964918	786821
A4D1U4	DEN11_HUMAN	DENND11	DENN domain-containing protein 11	7	7	291291	246107	280966	222795	320972	299387	311979	298986	333672	271074	347989	302264	282046		311123	318323	238808	333490	219946	264491	264081	274369	260461	236973	190893	231491	260081		127843	192958	241261	171679	213977	203201	194227	129964	228873	305708	147298
A4IF30	S35F4_HUMAN	SLC35F4	Solute carrier family 35 member F4	1	1									35634.1				51673.7								61762.4	80237	69524.2		54825.8	82175.6	32406.4			50126.4	82373.3	123413	111831		97352.4		64485.6		77740.5
A4QMS7	CFA90_HUMAN	CFAP90	Cilia- and flagella-associated protein 90	1	1	2.73247e+06	3.12811e+06	3.28725e+06	4.6932e+06		1.98908e+06	1.72727e+06		2.15825e+06		1.45093e+06	3.23562e+06	1.81605e+06			1.77497e+06	1.29027e+06	1.19307e+06			857098	937288	591873				575640	1.24534e+06		785216	720109	688056	775039	752009				844632	
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	3	3	629890	745601	765046	572662	752201	719968	825450	496483	746255	540072	645666	755575	744029		687880	686913	716472	789644	851478	691377	957606	926474	1.04227e+06	947236	942959	1.13724e+06	1.03351e+06	4.92754e+06	1.2095e+06	921405	1.06538e+06	962949	1.07623e+06	841160	1.05004e+06	1.17047e+06	1.0542e+06	975199	745762
